latitude,longitude,avg_temp_c
45.7667,-73.3667,2.1710
59.4503,-136.3615,1.5500
51.1167,-114.0167,1.5419
51.1167,-114.0167,1.4516
43.1833,-79.4,3.0097
50.1833,-96.0667,1.0226
48.95,-125.5333,4.2613
45.25,-74.9667,2.1387
61.3167,-117.6,-1.4133
45.6333,-71.3667,1.9661
48.3333,-71.0,1.2097
43.9667,-78.1833,2.7700
43.95,-78.1667,2.8258
53.0333,-122.5167,1.9290
43.35,-80.4667,2.4833
46.0667,-76.05,1.7565
53.0333,-122.5,1.9419
46.5,-71.0833,1.7177
45.7667,-64.2333,2.3387
55.4167,-119.25,0.7714
44.55,-79.2167,2.5452
53.0333,-122.5167,1.9806
49.15,-122.2667,3.5742
49.15,-122.55,3.7677
63.1333,-117.25,-2.0484
49.5,-112.1167,1.7667
58.1667,-116.35,-0.0571
49.3833,-82.1167,0.9581
50.3667,-102.5667,0.6419
49.6167,-113.8167,2.1429
62.4667,-114.4333,-1.7419
45.05,-72.8667,2.2355
54.0167,-111.2667,0.5952
65.8833,-89.45,-1.1889
54.2833,-111.45,0.8143
54.25,-133.05,3.9097
54.25,-133.0667,3.9710
44.3833,-79.7333,2.2364
44.6333,-63.5,2.8312
49.75,-114.8833,1.8129
44.6333,-63.5167,2.7483
45.3667,-71.5333,2.0565
50.2833,-63.6167,1.1548
45.0833,-73.3833,2.3310
45.0667,-64.4833,2.6333
45.0333,-76.25,2.1000
60.1167,-128.8167,-0.6226
55.9167,-117.1167,0.7286
50.7333,-71.0167,0.9200
50.3,-88.9,0.1769
45.5,-73.5833,2.2935
73.0,-85.0167,-1.5774
52.7833,-110.4333,0.6381
56.8667,-101.0833,-0.2129
56.85,-101.0667,-0.4700
49.1167,-117.7333,2.6129
52.5,-116.05,1.3258
51.7833,-112.25,0.9190
44.2833,-66.35,3.0387
49.9,-99.95,0.6968
52.5333,-122.2833,1.8667
56.0833,-119.35,0.8095
48.3667,-89.3333,1.4677
48.3667,-89.3167,1.3774
47.4333,-61.7667,2.6032
58.7167,-113.8667,-0.9107
49.6833,-54.8,2.3355
49.9167,-99.95,0.6133
45.65,-74.3333,2.0532
52.1167,-124.1333,1.1556
53.6667,-110.0833,0.5048
50.45,-100.6,0.5100
45.0667,-77.8833,2.0097
49.3333,-123.2667,4.1467
45.3,-73.35,2.2065
45.2333,-63.05,2.4452
51.3833,-113.35,1.1667
53.6,-114.9833,0.8935
46.8333,-71.2,1.9355
51.5667,-107.9167,0.3065
43.3,-79.8,3.0290
48.7833,-123.05,4.6000
50.55,-111.85,0.9742
52.35,-112.6,1.0619
48.0167,-65.3333,1.8645
52.8167,-97.6167,0.6759
53.0833,-114.4333,1.3476
45.6,-64.95,2.3767
46.8167,-60.6667,2.0806
48.4333,-123.4333,4.1621
61.3167,-73.6667,-1.1412
50.2,-104.7167,0.7387
